"국내 지진 검색 결과를 번호, 발생시각, 규모, 깊이, 위도, 경도, 위치, 지도보기로 제공하는 표",,,,,,,,,
number,origin_time,magnitude,depth,최대,latitude,longitude,location,map,details
1533,2023-12-23 4:34,3,6,Ⅳ,35.80 N,127.53 E,전북 장수군 북쪽 17km 지역,지도,상세정보
1532,2023-12-11 1:23,2.3,12,Ⅰ,38.45 N,126.17 E,북한 황해북도 평산 북서쪽 24km 지역,지도,상세정보
1531,2023-12-08 6:31,2.5,-,Ⅲ,37.19 N,129.08 E,강원 삼척시 남남서쪽 30km 지역,지도,상세정보
1530,2023-12-06 19:11,2,28,Ⅰ,41.26 N,129.22 E,북한 함경북도 길주 북북서쪽 35km 지역,지도,상세정보
1529,2023-12-05 5:53,2.2,19,Ⅰ,41.29 N,129.22 E,북한 함경북도 길주 북북서쪽 38km 지역,지도,상세정보
1528,2023-12-04 2:28,3.1,22,Ⅰ,41.30 N,129.15 E,북한 함경북도 길주 북북서쪽 41km 지역,지도,상세정보
1527,2023-11-30 4:55,4,12,Ⅴ,35.79 N,129.42 E,경북 경주시 동남동쪽 19km 지역,지도,지진분석서
1526,2023-11-25 11:53,2.6,8,Ⅳ,36.69 N,126.83 E,충남 예산군 북서쪽 2km 지역,지도,상세정보
1525,2023-11-24 22:06,2.7,17,Ⅰ,35.07 N,125.06 E,전남 신안군 흑산도 북서쪽 55km 해역,지도,상세정보
1524,2023-11-23 21:31,2.2,18,Ⅰ,41.31 N,129.14 E,북한 함경북도 길주 북북서쪽 42km 지역,지도,상세정보
1523,2023-11-23 21:21,2.6,15,Ⅰ,41.30 N,129.20 E,북한 함경북도 길주 북북서쪽 40km 지역,지도,상세정보
1522,2023-11-23 12:42,2.2,6,Ⅰ,41.23 N,129.05 E,북한 함경북도 길주 북서쪽 38km 지역,지도,상세정보
1521,2023-11-23 7:54,2.5,20,Ⅰ,41.29 N,129.16 E,북한 함경북도 길주 북북서쪽 40km 지역,지도,상세정보
1520,2023-11-22 17:40,2.3,24,Ⅰ,41.30 N,129.20 E,북한 함경북도 길주 북북서쪽 40km 지역,지도,상세정보
1519,2023-11-22 16:29,2.9,23,Ⅰ,41.31 N,129.18 E,북한 함경북도 길주 북북서쪽 41km 지역,지도,상세정보
1518,2023-11-17 4:06,2.1,18,Ⅰ,33.67 N,127.38 E,전남 여수시 거문도 남쪽 40km 해역,지도,상세정보
1517,2023-11-03 0:24,2.5,12,Ⅰ,38.10 N,124.72 E,북한 황해남도 용연 서남서쪽 19km 해역,지도,상세정보
1516,2023-10-28 8:37,2.2,31,Ⅰ,41.25 N,129.12 E,북한 함경북도 길주 북북서쪽 37km 지역,지도,상세정보
1515,2023-10-25 21:46,3.4,12,Ⅴ,36.35 N,127.05 E,충남 공주시 남남서쪽 12km 지역,지도,상세정보
1514,2023-10-24 9:11,2.7,31,Ⅰ,37.85 N,129.49 E,강원 동해시 북동쪽 49km 해역,지도,상세정보
1513,2023-10-22 3:04,2.1,29,Ⅰ,37.86 N,129.52 E,강원 동해시 북동쪽 52km 해역,지도,상세정보
1512,2023-10-20 17:36,2,18,Ⅰ,35.06 N,125.08 E,전남 신안군 흑산도 북서쪽 53km 해역,지도,상세정보
1511,2023-10-20 0:30,2.7,11,Ⅰ,40.48 N,127.26 E,북한 함경남도 장진 북쪽 11km 지역,지도,상세정보
1510,2023-10-15 9:42,2.3,12,Ⅰ,37.72 N,125.58 E,북한 황해남도 옹진 남동쪽 30km 해역,지도,상세정보
1509,2023-10-11 18:58,2.2,5,Ⅰ,38.76 N,127.63 E,북한 강원 회양 북북동쪽 7km 지역,지도,상세정보
1508,2023-10-11 3:54,2.9,12,Ⅰ,35.31 N,125.51 E,전남 신안군 흑산도 북쪽 72km 해역,지도,상세정보
1507,2023-10-10 0:20,3.1,13,Ⅰ,36.18 N,124.42 E,충남 태안군 서격렬비도 서남서쪽 111km 해역,지도,상세정보
1506,2023-10-09 23:16,2.2,13,Ⅰ,41.30 N,129.23 E,북한 함경북도 길주 북북서쪽 39km 지역,지도,상세정보
1505,2023-10-06 18:29,2.5,12,Ⅰ,41.29 N,129.13 E,북한 함경북도 길주 북북서쪽 41km 지역,지도,상세정보
1504,2023-10-01 7:35,2.1,23,Ⅰ,41.26 N,129.29 E,북한 함경북도 길주 북쪽 34km 지역,지도,상세정보
1503,2023-09-27 0:48,3.2,6,Ⅰ,41.33 N,129.16 E,북한 함경북도 길주 북북서쪽 44km 지역,지도,상세정보
1502,2023-09-22 17:46,2.2,14,Ⅱ,36.59 N,128.22 E,경북 문경시 동쪽 3km 지역,지도,상세정보
1501,2023-09-16 4:28,2.2,7,Ⅱ,36.01 N,128.01 E,경북 김천시 남남서쪽 17km 지역,지도,상세정보
1500,2023-09-14 21:28,2.9,23,Ⅰ,35.70 N,130.03 E,울산 동구 동북동쪽 60km 해역,지도,상세정보
1499,2023-09-08 5:12,2.3,19,Ⅰ,41.32 N,129.17 E,북한 함경북도 길주 북북서쪽 43km 지역,지도,상세정보
1498,2023-09-08 4:01,2.1,24,Ⅰ,41.30 N,129.23 E,북한 함경북도 길주 북북서쪽 39km 지역,지도,상세정보
1497,2023-09-08 3:29,2.2,17,Ⅰ,41.29 N,129.24 E,북한 함경북도 길주 북쪽 38km 지역,지도,상세정보
1496,2023-09-02 20:54,2.5,15,Ⅰ,41.28 N,129.15 E,북한 함경북도 길주 북북서쪽 39km 지역,지도,상세정보
1495,2023-09-02 20:50,2.1,28,Ⅰ,41.26 N,129.10 E,북한 함경북도 길주 북북서쪽 39km 지역,지도,-
1494,2023-08-26 1:25,2.1,9,Ⅲ,35.98 N,128.14 E,경북 김천시 남쪽 18km 지역,지도,상세정보
1493,2023-08-20 19:41,2.6,14,Ⅰ,37.77 N,130.36 E,경북 울릉군 울릉도 서북서쪽 58km 해역,지도,상세정보
1492,2023-08-13 7:55,2.3,5,Ⅰ,41.31 N,129.16 E,북한 함경북도 길주 북북서쪽 42km 지역,지도,상세정보
1491,2023-08-13 3:13,2.7,15,Ⅰ,41.30 N,129.19 E,북한 함경북도 길주 북북서쪽 40km 지역,지도,상세정보
1490,2023-08-13 3:11,2.3,19,Ⅰ,41.29 N,129.19 E,북한 함경북도 길주 북북서쪽 39km 지역,지도,-
1489,2023-08-07 0:15,2.2,21,Ⅱ,34.57 N,127.29 E,전남 고흥군 남남동쪽 4km 지역,지도,상세정보
1488,2023-08-04 3:07,2.1,22,Ⅰ,33.73 N,127.22 E,전남 여수시 거문도 남남서쪽 34km 해역,지도,상세정보
1487,2023-07-29 19:07,3.5,6,Ⅴ,35.80 N,127.53 E,전북 장수군 북쪽 17km 지역,지도,지진분석서
1486,2023-07-28 13:16,2,17,Ⅰ,41.31 N,129.23 E,북한 함경북도 길주 북북서쪽 40km 지역,지도,상세정보
1485,2023-07-17 10:37,2.4,13,Ⅲ,35.31 N,128.58 E,경남 함안군 동북동쪽 16km 지역,지도,상세정보
1484,2023-07-05 1:02,2.1,15,Ⅰ,41.27 N,129.21 E,북한 함경북도 길주 북북서쪽 36km 지역,지도,상세정보
1483,2023-07-03 10:04,3.3,14,Ⅰ,41.30 N,129.12 E,북한 함경북도 길주 북북서쪽 42km 지역,지도,상세정보
1482,2023-06-25 11:55,2.4,17,Ⅰ,41.32 N,129.21 E,북한 함경북도 길주 북북서쪽 42km 지역,지도,상세정보
1481,2023-06-18 23:39,2.3,17,Ⅰ,41.28 N,129.19 E,북한 함경북도 길주 북북서쪽 38km 지역,지도,상세정보
1480,2023-06-17 22:34,2.1,30,Ⅰ,37.86 N,129.50 E,강원 동해시 북동쪽 50km 해역,지도,상세정보
1479,2023-06-16 6:03,3.1,25,Ⅰ,34.02 N,124.80 E,전남 신안군 흑산도 남서쪽 92km 해역,지도,상세정보
1478,2023-06-13 14:23,2,21,Ⅱ,35.07 N,128.50 E,경남 창원시 마산합포구 남남서쪽 15km 해역,지도,상세정보
1477,2023-06-07 15:30,2.1,22,Ⅰ,41.31 N,129.16 E,북한 함경북도 길주 북북서쪽 42km 지역,지도,상세정보
1476,2023-06-05 12:42,2.1,5,Ⅲ,35.77 N,127.18 E,전북 완주군 남쪽 15km 지역,지도,상세정보
1475,2023-05-25 22:27,2.4,18,Ⅰ,41.25 N,129.24 E,북한 함경북도 길주 북북서쪽 34km 지역,지도,상세정보
1474,2023-05-22 3:39,2.3,28,Ⅰ,37.87 N,129.52 E,강원 동해시 북동쪽 52km 해역,지도,상세정보
1473,2023-05-19 14:03,2.4,14,Ⅰ,41.29 N,129.19 E,북한 함경북도 길주 북북서쪽 39km 지역,지도,상세정보
1472,2023-05-15 6:27,4.5,31,Ⅲ,37.87 N,129.52 E,강원 동해시 북동쪽 52km 해역,지도,지진분석서
1471,2023-05-14 8:35,3.1,30,Ⅰ,37.86 N,129.51 E,강원 동해시 북동쪽 51km 해역,지도,상세정보
