"국외 지진 검색 결과를 번호, 발생시각, 규모, 깊이, 위도, 경도, 위치, 지도보기로 제공하는 표",,,,,,,
number,origin_time,magnitude,depth,latitude,longitude,location,map
2052,2025-01-26 1:10,5.3,11,22.83 N,120.71 E,대만 핑둥현 북동쪽 28km 지역,지도
2051,2025-01-25 20:49,5.7,8,23.26 N,120.50 E,대만 자이시 남남동쪽 25km 지역,지도
2050,2025-01-25 7:01,5.1,12,23.18 N,120.53 E,대만 자이시 남남동쪽 34km 지역,지도
2049,2025-01-24 20:18,5.3,12,23.17 N,120.53 E,대만 자이시 남남동쪽 35km 지역,지도
2048,2025-01-23 2:49,5,10,37.00 N,139.40 E,일본 도치기현 우쓰노미야시 북서쪽 66km 지역,지도
2047,2025-01-21 2:42,5.2,11,23.18 N,120.59 E,대만 자이시 남남동쪽 36km 지역,지도
2046,2025-01-21 1:17,6.4,10,23.23 N,120.57 E,대만 자이시 남남동쪽 30km 지역,지도
2045,2025-01-19 4:44,5.2,20,25.00 N,123.50 E,대만 타이베이 동쪽 195km 해역,지도
2044,2025-01-13 21:19,6.4,30,31.80 N,131.60 E,일본 미야자키현 미야자키시 남동쪽 22km 해역,지도
2043,2025-01-12 17:32,6.2,86,18.73 N,103.10 W,멕시코 콜리마 남동쪽 88km 지역,지도
2042,2025-01-07 17:32,6,420,31.40 N,138.70 E,일본 시즈오카현 하마마쓰시 남남동쪽 379km 해역,지도
2041,2025-01-07 10:05,6.8,10,28.50 N,87.45 E,중국 티베트 르카쩌 서남서쪽 163km 지역,지도
2040,2025-01-06 2:18,6.2,50,13.05 N,89.17 W,엘살바도르 산타테클라 남쪽 71km 해역,지도
2039,2025-01-03 5:43,6.1,105,21.72 S,69.08 W,칠레 카라마 북쪽 83km 지역,지도
2038,2025-01-01 22:48,6.2,78,56.39 S,26.69 W,남대서양 사우스 샌드위치 제도 해역,지도
2037,2024-12-30 4:51,5.1,12,23.55 N,120.69 E,대만 윈린현 남동쪽 23km 지역,지도
2036,2024-12-27 21:48,6.7,160,46.80 N,151.70 E,일본 홋카이도 아사히카와시 동북동쪽 804km 해역,지도
2035,2024-12-22 0:30,6.1,40,17.71 S,168.03 E,바누아투 포트빌라 서쪽 30km 해역,지도
2034,2024-12-17 13:09,5.2,170,31.10 N,130.40 E,일본 가고시마현 가고시마시 남남서쪽 57km 해역,지도
2033,2024-12-17 10:47,7.3,43,17.71 S,168.03 E,바누아투 포트빌라 서쪽 30km 해역,지도
2032,2024-12-14 8:38,6.4,111,35.32 S,70.90 W,칠레 탈카 동쪽 70km 지역,지도
2031,2024-12-10 22:56,5,101,24.76 N,122.61 E,대만 이란현 동쪽 87km 해역,지도
2030,2024-12-09 9:15,6.3,10,50.90 N,177.10 W,미국 알래스카 아닥 남남서쪽 112km 해역,지도
2029,2024-12-09 4:57,6.3,48,51.01 N,177.33 W,미국 알래스카 아닥 남남서쪽 107km 해역,지도
2028,2024-12-08 19:25,6.1,221,48.84 N,152.32 E,러시아 캄차카반도 페트로파블롭스크-캄차츠키 남서쪽 642km 해역,지도
2027,2024-12-06 3:44,7,10,40.30 N,125.38 W,미국 캘리포니아 포츄나 서남서쪽 108km 해역,지도
2026,2024-11-30 17:46,5.8,70,25.40 N,126.00 E,일본 오키나와현 나하시 서남서쪽 191km 해역,지도
2025,2024-11-26 22:47,6.4,10,37.00 N,136.50 E,일본 이시카와현 가나자와시 북북서쪽 51km 해역,지도
2024,2024-11-22 21:40,5.4,8,23.20 N,120.18 E,대만 타이난시 북쪽 24km 지역,지도
2023,2024-11-20 15:40,5.1,10,41.00 N,141.10 E,일본 아오모리현 아오모리시 동북동쪽 37km 해역,지도
2022,2024-11-17 21:16,6,10,29.00 N,131.50 E,일본 가고시마현 가고시마시 남남동쪽 303km 해역,지도
2021,2024-11-15 14:28,6.6,52,4.70 S,153.32 E,파푸아뉴기니 코코포 동남동쪽 123km 해역,지도
2020,2024-11-11 1:49,6.8,24,19.81 N,76.96 W,쿠바 만사니요 남남동쪽 61km 해역,지도
2019,2024-11-08 20:37,6.3,10,46.79 S,76.17 W,칠레 푸에르토몬트 남남서쪽 645km 해역,지도
2018,2024-11-07 7:55,6.3,10,25.50 N,143.50 E,일본 가나가와현 요코스카시 남남동쪽 1145km 해역,지도
