"국외 지진 검색 결과를 번호, 발생시각, 규모, 깊이, 위도, 경도, 위치, 지도보기로 제공하는 표",,,,,,,
number,origin_time,magnitude,depth,latitude,longitude,location,map
1144,2017-09-27 5:22,6,30,40.30 N,142.50 E,일본 혼슈 이와테현 모리오카 동북동쪽 133km 해역,지도
1143,2017-09-23 21:53,6.1,9,16.74 N,94.95 W,멕시코 오악사카 동쪽 193km 지역,지도
1142,2017-09-21 5:09,6.5,196,18.81 S,169.03 E,바누아투 포트빌라 남남동쪽 140km 지역,지도
1141,2017-09-21 1:37,5.9,10,38.00 N,144.40 E,일본 혼슈 미야기현 센다이 동쪽 310km 해역,지도
1140,2017-09-20 23:29,5.7,15,23.33 N,121.76 E,대만 카오슝 동북동쪽 175km 해역,지도
1139,2017-09-20 3:14,7.1,51,18.58 N,98.40 W,멕시코 멕시코시티 남동쪽 122km 지역,지도
1138,2017-09-12 2:35,5.9,10,24.10 N,142.50 E,일본 혼슈 시즈오카현 시즈오카 남남동쪽 1273km 해역,지도
1137,2017-09-10 17:44,5.7,50,41.70 N,142.90 E,일본 훗카이도 구시로 남서쪽 188km 해역,지도
1136,2017-09-08 22:23,5.3,10,39.50 N,140.40 E,일본 혼슈 아키타현 아키타 남동쪽 35km 지역,지도
1135,2017-09-08 13:49,8,33,14.90 N,94.03 W,멕시코 멕시코시티 남동쪽 724km 해역,지도
1134,2017-09-08 2:27,6.1,460,28.00 N,140.60 E,일본 혼슈 시즈오카현 시즈오카 남남동쪽 804km 해역,지도
1133,2017-08-16 21:51,5.7,180,28.70 N,127.90 E,일본 오키나와 북쪽 278km 해역,지도
1132,2017-08-11 14:28,6.2,168,14.01 N,120.71 E,필리핀 마닐라 남서쪽 74km 지역,지도
1131,2017-08-09 8:27,6.6,11,44.27 N,82.89 E,중국 신장 위구르 우르무치시 서북서쪽 382km 지역,지도
1130,2017-08-08 22:19,7,20,33.20 N,103.82 E,중국 쓰촨성 북쪽 310km 지역,지도
1129,2017-08-04 20:19,5.8,48,24.19 N,123.99 E,대만 타이베이 동남동쪽 269km 해역,지도
1128,2017-08-02 2:02,5.5,10,36.80 N,140.60 E,일본 혼슈 이바라키현 미토 북북동쪽 50km 지역,지도
1127,2017-07-28 8:59,5.6,10,29.20 N,142.20 E,일본 혼슈 가나가와현 요코하마 남남동쪽 735km 해역,지도
1126,2017-07-26 19:33,5.6,10,26.90 N,130.20 E,일본 오키나와현 오키나와 동북동쪽 262km 해역,지도
1125,2017-07-24 0:36,5.7,10,40.10 N,143.50 E,일본 혼슈 이와테현 모리오카 동북동쪽 205km 해역,지도
1124,2017-07-20 9:11,5.6,40,37.30 N,141.60 E,일본 혼슈 후쿠시마현 후쿠시마 동남동쪽 112km 해역,지도
1123,2017-07-18 8:34,7.4,48,54.19 N,169.17 E,러시아 클류치 동남동쪽 580km 해역,지도
1122,2017-07-13 4:48,5.7,538,40.81 N,131.79 E,북한 함경북도 나진 남동쪽 202km 해역,-
1121,2017-07-06 17:04,6.9,41,11.15 N,124.80 E,필리핀 세부 북동쪽 134km 지역,지도
1120,2017-07-01 23:45,5.3,,42.80 N,141.90 E,일본 훗카이도 삿포로 동남동쪽 53km 지역,지도
1119,2017-06-25 7:02,5.7,,35.90 N,137.60 E,일본 혼슈 야마나시현 고후 서북서쪽 91km 지역,-
1118,2017-06-14 16:29,7,,14.90 N,92.00 W,과테말라 산 파블로 북서쪽 2km 지역,-
1117,2017-05-29 23:35,6.6,,1.27 S,120.48 E,인도네시아 팔루 남동쪽 83km 지역,-
1116,2017-05-16 8:12,5.7,,23.25 N,121.47 E,대만 카오슝 동북동쪽 145km 해역,-
1115,2017-05-09 10:54,6.4,,24.20 N,126.50 E,일본 오키나와현 오키나와 남남서쪽 253km 해역,-
1114,2017-05-01 23:18,6.3,,59.74 N,136.70 W,미국 알래스카 앵커리지 동남동쪽 743km 지역,-
1113,2017-05-01 21:31,6.2,,59.84 N,136.70 W,미국 알래스카 앵커리지 동남동쪽 738km 지역,-
1112,2017-04-30 23:42,5.5,,42.30 N,143.10 E,일본 훗카이도 구시로 남서쪽 129km 지역,-
1111,2017-04-30 10:57,6,,21.43 N,121.85 E,대만 카오슝 남동쪽 210km 해역,-
1110,2017-04-29 21:32,5.7,,30.80 N,131.50 E,일본 규슈 미야자키현 미야자키 남쪽 123km 해역,-
1109,2017-04-25 6:38,7.1,,33.06 S,72.04 W,칠레 발파라이소 서쪽 39km 해역,-
1108,2017-04-19 2:49,6,,2.73 S,75.31 W,페루 이키토스 북서쪽 255km 지역,-
1107,2017-04-15 17:19,6.2,,23.24 S,67.65 W,칠레 칼라마 동남동쪽 157km 지역,-
1106,2017-04-14 4:41,5.7,,25.16 N,122.33 E,대만 타이베이 동북동쪽 87km 해역,-
1105,2017-04-05 15:09,6.1,,35.86 N,60.39 E,이란 마슈하드 남동쪽 82km 지역,-
1104,2017-04-04 2:40,6.5,,22.62 S,25.15 E,보츠와나 가보로네 북북서쪽 240m 지역,-
1103,2017-03-29 13:09,6.6,,56.92 N,162.73 E,러시아 클류치 동북동 134km 지역,-
1102,2017-03-06 7:47,6.5,,6.01 S,149.34 E,파푸아뉴기니 킴베 서남서쪽 101km 지역,-
1101,2017-02-28 16:49,5.6,,37.50 N,141.40 E,일본 혼슈 후쿠시마현 후쿠시마 동남동쪽 87km 해역,-
1100,2017-02-21 23:09,6.5,,19.29 S,63.92 W,볼리비아 라파스 남동쪽 540km 지역,-
1099,2017-02-18 21:10,6.3,,23.92 S,66.69 W,아르헨티나 산안토니오 데로스 코브레스 북서쪽 50km 지역,-
1098,2017-02-11 2:12,5.6,,22.81 N,120.23 E,대만 타이난 남쪽 19km 지역,-
1097,2017-01-28 22:40,5,,39.80 N,140.80 E,일본 혼슈 이와테현 모리오카 서북서쪽 32km 지역,-
1096,2017-01-22 13:30,8,,6.08 S,155.24 E,파푸아뉴기니 아라와 서북서쪽 36km 지역,-
1095,2017-01-05 2:53,5.8,,37.10 N,141.40 E,일본 혼슈 후쿠시마현 후쿠시마 남동쪽 110km 해역,-
1094,2017-01-04 6:52,7.2,,19.33 S,176.06 E,피지 수바 서남서쪽 283km 해역,-
1093,2016-12-31 5:08,5.6,,37.40 N,141.40 E,일본 혼슈 후쿠시마현 후쿠시마 동남동쪽 91km 해역,-
1092,2016-12-28 21:38,6.3,,36.70 N,140.60 E,일본 혼슈 이바라키현 미토 북북동쪽 39km 지역,-
1091,2016-12-25 23:22,7.7,,43.31 S,74.54 W,칠레 푸에르토 켈론 서남서쪽 77km 해역,-
1090,2016-12-20 1:41,5.5,,37.30 N,141.70 E,일본 혼슈 후쿠시마현 후쿠시마 동남동쪽 120km 해역,-
1089,2016-12-18 22:30,6.1,,10.03 S,71.02 W,브라질 타라우아카 남쪽 208km 지역,-
1088,2016-12-17 19:51,8,,4.47 S,153.58 E,파푸아뉴기니 타론 동쪽 60km 해역,-
1087,2016-12-09 2:38,8,,10.70 S,161.40 E,솔로몬제도 키라키라 서남서쪽 63km 해역,-
1086,2016-12-02 7:40,6.3,,15.31 S,70.84 W,페루 아레키파 북동쪽 143km 지역,-
1085,2016-11-25 23:24,6.5,,39.27 N,74.91 E,중국 카스지구 서쪽 170km 지역,-
1084,2016-11-25 6:55,5.5,,24.13 N,122.30 E,대만 타이베이 남동쪽 127km 해역,-
1083,2016-11-25 3:43,7.2,,11.95 N,88.91 W,엘살바도르 산살바도르 남남동쪽 196km 해역,-
1082,2016-11-24 6:23,6.1,,37.10 N,141.50 E,일본 혼슈 후쿠시마현 후쿠시마 남동쪽 117km 해역,-
1081,2016-11-23 19:01,5.7,,27.30 N,140.80 E,일본 도쿄 남쪽 930km 해역,-
1080,2016-11-22 23:04,5.7,,37.20 N,141.50 E,일본 혼슈 후쿠시마현 후쿠시마 남동쪽 110km 해역,-
1079,2016-11-22 5:59,7.3,,37.30 N,141.60 E,일본 혼슈 후쿠시마현 후쿠시마 동남동쪽 112km 해역,-
1078,2016-11-21 5:57,6.4,,31.64 S,68.77 W,아르헨티나 존다 남남서쪽 10km 지역,-
1077,2016-11-19 11:48,5.4,,33.80 N,135.50 E,일본 혼슈 와카야마현 와카야마 남남동쪽 57km 지역,-
1076,2016-11-14 9:34,6.8,,42.70 S,173.40 E,뉴질랜드 카이코우라 남서쪽 40km 지역,-
1075,2016-11-13 23:01,6.2,,28.92 S,67.49 W,아르헨티나 칠레시토 북쪽 26km 지역,-
1074,2016-11-13 20:32,6.2,,42.20 S,173.49 E,뉴질랜드 카이코우라 북서쪽 28km 지역,-
1073,2016-11-13 20:02,7.4,,42.80 S,173.00 E,뉴질랜드 앰벌리 북북동쪽 46km 지역,-
1072,2016-11-12 6:43,5.8,,38.50 N,141.60 E,일본 혼슈 미야기현 센다이 동북동쪽 69km 해역,-
1071,2016-10-30 15:40,6.6,,42.86 N,13.09 E,이탈리아 노르챠 북쪽 6km 지역,-
1070,2016-10-27 4:18,6.1,,42.95 N,13.07 E,이탈리아 페루자 동북동쪽 59km 지역,-
1069,2016-10-21 14:53,5,,35.40 N,133.90 E,일본 혼슈 돗토리현 도토리 서남서쪽 32km 지역,-
1068,2016-10-21 14:07,6.6,,35.40 N,133.90 E,일본 혼슈 돗토리현 도토리 서남서쪽 32km 지역,-
1067,2016-10-20 15:27,6,,22.30 N,142.30 E,일본 혼슈 시즈오카현 시즈오카 남남동쪽 1460km 해역,-
1066,2016-10-20 11:50,5.3,,35.90 N,140.60 E,일본 혼슈 이바라키현 미토 남남동쪽 53km 지역,-
1065,2016-10-17 16:14,6.4,,32.91 N,94.87 E,중국 창두 북서쪽 294km 지역,-
1064,2016-10-12 4:02,5,,42.30 N,143.10 E,일본 홋카이도 구시로 남서쪽 129km 지역,-
1063,2016-10-07 0:51,6,,22.61 N,121.40 E,대만 타이둥 동남동쪽 31km 해역,-
1062,2016-09-26 14:20,5.7,,27.40 N,128.60 E,일본 오키나와현 오키나와 북동쪽 161km 해역,-
1061,2016-09-26 14:13,5.5,,41.70 N,143.00 E,일본 홋카이도 구시로 남서쪽 182km 해역,-
1060,2016-09-23 9:14,6.5,,34.40 N,141.70 E,일본 혼슈 지바현 지바 남동쪽 198km 해역,-
1059,2016-09-21 1:22,6.3,,30.50 N,142.30 E,일본 혼슈 가나가와현 요코하마 남남동쪽 603km 해역,-
1058,2016-09-10 19:08,6,,5.58 S,76.97 W,페루 모요밤바 북쪽 51km 지역,-
1057,2016-09-02 1:37,7.2,,37.50 S,178.80 E,뉴질랜드 오포티키 동북동쪽 145km 해역,-
1056,2016-08-29 13:30,7.4,,0.10 N,17.80 W,라이베리아 몬로비아 남서쪽 1037km 해역,-
1055,2016-08-26 2:05,6.1,,30.50 N,138.30 E,일본 혼슈 시즈오카현 시즈오카 남쪽 498km 해역,-
1054,2016-08-24 19:34,6.8,,20.92 N,94.58 E,미얀마 네피도 북동쪽 205km 지역,-
1053,2016-08-24 10:36,6.2,,42.71 N,13.17 E,이탈리아 노르챠 남동쪽 10km 지역,-
1052,2016-08-22 18:38,5.7,,29.90 N,139.50 E,일본 혼슈 시즈오카현 시즈오카 남쪽 574km 해역,-
1051,2016-08-21 0:58,5.9,,40.30 N,143.70 E,일본 혼슈 이와테현 모리오카 동북동쪽 227km 해역,-
1050,2016-08-20 18:01,6,,40.30 N,143.90 E,일본 혼슈 이와테현 모리오카 동북동쪽 243km 해역,-
1049,2016-08-19 16:32,7.4,,55.34 S,31.94 W,사우스조지아 사우스샌드위치 제도 남동쪽 320km 해역,-
1048,2016-08-15 16:04,5.5,,37.40 N,141.70 E,일본 혼슈 후쿠시마현 후쿠시마 동남동쪽 115km 해역,-
1047,2016-08-12 10:26,7.6,,22.70 S,173.20 E,남태평양 피지 수바 남서쪽 740km 해역,-
1046,2016-08-05 1:25,6.3,,25.20 N,141.90 E,일본 혼슈 시즈오카현 시즈오카 남남동쪽 1138km 해역,-
1045,2016-08-04 23:15,6,,22.39 S,65.99 W,아르헨티나 아브라팜파 북서쪽 48km 지역,-
1044,2016-07-30 6:18,7.7,,18.50 N,145.80 E,태평양 괌 북북동쪽 566km 해역,-
1043,2016-07-27 23:47,5.3,,36.40 N,140.60 E,일본 혼슈 이바라키현 미토 동북동쪽 12km 지역,-
1042,2016-07-26 2:26,6.2,,26.11 S,70.65 W,칠레 디에고 데 알마그로 서북서쪽 66km 지역,-
1041,2016-07-20 7:25,5,,36.10 N,140.00 E,일본 사이타마현 사이타마 북동쪽 42km 지역,-
1040,2016-07-17 13:24,5,,36.01 N,139.90 E,일본 혼슈 사이타마현 사이타마 북동쪽 28km 지역,-
1039,2016-06-27 7:57,5.8,,37.00 N,142.40 E,일본 혼슈 이바라키현 미토 동북동쪽 186km 해역,-
1038,2016-06-26 20:17,6.3,,39.49 N,73.33 E,키르기스스탄 잘랄아바트 남쪽 160km 지역,-
1037,2016-06-24 6:05,6,,23.50 N,123.30 E,대만 타이베이 남동쪽 249km 해역,-
1036,2016-06-12 7:54,5,,36.00 N,139.90 E,일본 혼슈 사이타마현 사이타마 북동쪽 28km 지역,-
1035,2016-06-10 12:25,6.1,,12.84 N,87.01 W,니카라과 마나과 북서쪽 114km 지역,-
1034,2016-05-31 14:23,7.2,,25.38 N,122.42 E,대만 타이베이 동북동쪽 103km 해역,-
1033,2016-05-28 18:47,7.3,,56.26 S,27.04 W,사우스조지아 사우스샌드위치 제도 비소코이 섬 북북동쪽 50km 해역,-
1032,2016-05-27 12:44,5.5,,26.90 N,130.30 E,일본 오키나와현 오키나와 동북동쪽 272km 해역,-
1031,2016-05-22 5:51,5.2,,22.92 N,120.62 E,대만 카오슝 북동쪽 53km 지역,-
1030,2016-05-19 1:46,6.8,,0.47 N,79.64 W,에콰도르 로사 사라테 북서쪽 24km 지역,-
1029,2016-05-18 16:57,6.7,,0.42 N,79.76 W,에콰도르 로사 사라테 서북서쪽 34km 지역,-
1028,2016-05-16 21:23,5.6,,36.00 N,139.90 E,일본 도쿄 북동쪽 39km 지역,-
1027,2016-05-12 13:29,5.5,,24.68 N,122.00 E,대만 타이베이 남동쪽 63km 해역,-
1026,2016-05-12 12:17,5.8,,24.69 N,121.95 E,대만 타이베이 남동쪽 58km 해역,-
1025,2016-05-03 9:01,5.7,,43.50 N,147.50 E,일본 홋카이도 구시로 동북동쪽 259km 해역,-
1024,2016-04-29 4:33,7.3,,16.20 S,167.70 E,바누아투 라카토로 동남동쪽 31km 해역,-
1023,2016-04-28 3:19,5.5,,23.26 N,121.30 E,대만 카오슝 북동쪽 131km 지역,-
1022,2016-04-20 21:19,5.6,,37.80 N,141.70 E,일본 혼슈 미야기현 센다이 남동쪽 89km 해역,-
1021,2016-04-19 17:52,5.5,,32.60 N,130.70 E,일본 규슈 구마모토현 구마모토 남쪽 23km 지역,-
1020,2016-04-18 20:42,5.8,,33.00 N,131.20 E,일본 규슈 오이타현 오이타 남서쪽 46km 지역,-
1019,2016-04-17 8:58,7.4,,0.20 N,80.10 W,에콰도르 페데르날레스 북북서쪽 14km 해역,-
1018,2016-04-16 7:11,5.3,,33.30 N,131.40 E,일본 규슈 오이타현 오이타 서북서쪽 21km 지역,-
1017,2016-04-16 3:55,5.8,,33.00 N,131.20 E,일본 규슈 오이타현 오이타 남서쪽 46km 지역,-
1016,2016-04-16 3:03,5.8,,33.00 N,131.10 E,일본 규슈 구마모토현 구마모토 동북동쪽 43km 지역,-
1015,2016-04-16 1:46,6,,32.90 N,130.90 E,일본 규슈 구마모토현 구마모토 동북동쪽 21km 지역,-
1014,2016-04-16 1:25,7.3,,32.80 N,130.80 E,일본 규슈 구마모토현 구마모토 동쪽 9km 지역,-
1013,2016-04-15 0:03,6.4,,32.70 N,130.80 E,일본 규슈 구마모토현 구마모토 남동쪽 14km 지역,-
1012,2016-04-14 22:07,5.7,,32.80 N,130.80 E,일본 규슈 구마모토현 구마모토 동쪽 9km 지역,-
1011,2016-04-14 21:26,6.4,,32.70 N,130.80 E,일본 규슈 구마모토현 구마모토 남동쪽 14km 지역,-
1010,2016-04-13 22:55,6.9,,23.13 N,94.90 E,미얀마 네피도 북북서쪽 396km 지역,-
1009,2016-04-10 19:28,6.6,,36.49 N,71.16 E,아프카니스탄 카불 북동쪽 282km 지역,-
1008,2016-04-03 17:23,7.2,,14.19 S,166.91 E,바누아투 포트빌라 북북서쪽 420km 해역,-
1007,2016-04-02 14:50,6.4,,57.05 N,157.85 W,알래스카 앵커리지 남서쪽 649km 지역,-
1006,2016-04-01 11:39,6.1,,33.40 N,136.40 E,일본 혼슈 와카야마현 와카야마 남동쪽 146km 해역,-
1005,2016-03-02 21:49,7.9,,4.90 S,94.23 E,인도네시아 무아라 시베루트 남서쪽 662km 해역,-
1004,2016-02-22 6:27,6.4,,24.40 N,143.10 E,일본 혼슈 시즈오카현 시즈오카 남남동쪽 1261km 해역,-
1003,2016-02-18 10:09,5.1,,23.00 N,120.90 E,대만 카오슝 동북동쪽 81km 지역,-
1002,2016-02-15 3:10,6.2,,30.40 N,139.30 E,일본 혼슈 시즈오카현 시즈오카 남쪽 516km 해역,-
1001,2016-02-12 19:02,6.5,,9.59 S,119.40 E,인도네시아 와잉아푸 서쪽 94km 지역,-
1000,2016-02-10 9:33,6.3,,30.63 S,71.62 W,칠레 라세네나 남남서쪽 87km 지역,-
999,2016-02-06 4:57,6.7,,22.90 N,120.50 E,대만 타이난 동남동쪽 31km 지역,-
998,2016-02-02 23:19,6.8,,25.21 N,123.58 E,대만 타이베이 동쪽 212km 해역,-
997,2016-02-02 14:32,5.7,,39.70 N,142.90 E,일본 혼슈 이와테현 모리오카 동쪽 149km 해역,-
996,2016-01-30 12:25,7,,54.00 N,158.70 E,러시아 캄차카반도 옐리조보 북북동쪽 92km 지역,-
995,2016-01-24 19:30,7.1,,59.66 N,153.45 W,미국 알래스카 앵커리지 남서쪽 261km 해역,-
994,2016-01-21 2:13,6.4,,37.68 N,101.62 E,중국 칭하이성 하이둥시 북쪽 138km 지역,-
993,2016-01-14 12:25,6,,19.81 S,63.33 W,볼리비아 라파스 남동쪽 627km 지역,-
992,2016-01-14 12:25,6.7,,42.00 N,142.80 E,일본 홋카이도 삿포로 남동쪽 167km 해역,-
991,2016-01-12 2:14,6,,44.50 N,141.30 E,일본 홋카이도 삿포로 북쪽 160km 해역,-
990,2016-01-09 23:12,5.5,,28.10 N,129.50 E,일본 오키나와현 오키나와 북동쪽 277km 해역,-
989,2016-01-06 7:01,6,,22.10 N,143.80 E,일본 혼슈 시즈오카현 시즈오카 남남동쪽 1526km 해역,-
988,2016-01-04 8:05,6.8,,24.88 N,93.63 E,인도 임팔 서북서쪽 33km 지역,-
987,2016-01-02 13:22,6.4,,44.81 N,129.95 E,중국 헤이룽장성 무단장시 북동쪽 38km 지역,-
986,2015-12-26 4:14,6.2,,36.52 N,71.14 E,아프가니스탄 카불 북동쪽 283km 지역,-
985,2015-12-18 4:49,6.6,,15.80 N,93.50 W,멕시코 멕시코시티 남동쪽 719km 지역,-
984,2015-12-07 16:50,7.2,,38.26 N,72.72 E,타지키스탄 두샨베 동쪽 345km 지역,-
983,2015-12-05 7:24,7.1,,47.74 S,85.18 E,호주 퍼스 남서쪽 3124km 해역,-
982,2015-11-26 14:45,6.4,,9.22 S,71.27 W,브라질 타라우아카 남남서쪽 130km 지역,-
981,2015-11-25 7:45,7.5,,10.59 S,70.97 W,페루 이베리아 서북서쪽 173km 지역,-
980,2015-11-20 14:32,6,,25.90 N,143.40 E,일본 도쿄 남남동쪽 1142km 해역,-
979,2015-11-19 3:31,7,,8.70 S,158.70 E,솔로몬제도 다달리 남남서쪽 80km 해역,-
978,2015-11-15 4:20,5.8,,31.30 N,128.80 E,일본 규슈 가고시마현 가고시마 서남서쪽 170km 해역,-
977,2015-11-14 5:51,7,,30.90 N,128.70 E,일본 규슈 가고시마현 가고시마 서남서쪽 193km 해역,-
976,2015-11-07 16:31,6.8,,30.91 S,71.54 W,칠레 산티아고 북북서쪽 295km 지역,-
975,2015-11-04 12:44,6.3,,8.35 S,124.90 E,동티모르 딜리 서북서쪽 77km 지역,-
974,2015-11-02 6:09,5.9,,22.71 N,121.60 E,대만 타이둥 동쪽 47km 해역,-
973,2015-10-26 18:09,7.7,,36.46 N,70.71 E,아프가니스탄 카불 북북동쪽 256km 지역,-
972,2015-10-21 15:04,5.5,,37.30 N,141.20 E,일본 도쿄 북동쪽 230km 해역,-
971,2015-10-21 6:52,7.3,,14.80 S,167.40 E,바누아투 포트빌라 북북서쪽 339km 해역,-
970,2015-10-20 18:29,5.7,,27.40 N,140.80 E,일본 도쿄 남쪽 900km 해역,-
969,2015-10-17 20:33,6,,25.48 S,64.44 W,아르헨티나 엘 갈폰 동남동쪽 24km 지역,-
968,2015-09-26 12:17,6.2,,30.82 S,71.39 W,칠레 산티아고 북북서쪽 300km 지역,-
967,2015-09-22 16:12,6.1,,31.48 S,71.20 W,칠레 산티아고 북북서쪽 225km 지역,-
966,2015-09-19 18:07,6.1,,31.11 S,71.61 W,칠레 산티아고 북북서쪽 274km 지역,-
965,2015-09-17 8:18,6.4,,31.59 S,71.43 W,칠레 산티아고 북북서쪽 219km 지역,-
964,2015-09-17 7:54,7.9,,31.50 S,71.90 W,칠레 산티아고 북북서쪽 246km 해역,-
963,2015-09-16 22:09,5.5,,24.31 N,121.86 E,대만 타이베이 남남동쪽 86km 해역,-
962,2015-09-02 0:24,5.6,,31.35 N,141.87 E,일본 혼슈 가나가와현 요코하마 남남동쪽 500km 해역,-
961,2015-08-14 13:43,5.1,,42.80 N,143.20 E,일본 홋카이도 구시로 서남서쪽 98km 지역,-
960,2015-08-13 23:08,5.5,,24.06 N,122.45 E,대만 타이베이 남동쪽 143km 해역,-
959,2015-08-06 18:22,5.2,,36.50 N,140.60 E,일본 혼슈 이바라키현 미토 북동쪽 19km 지역,-
958,2015-07-29 11:35,6.2,,59.90 N,153.20 W,알래스카 앵커리지 남서쪽 233km 지역,-
957,2015-07-28 6:41,7,,2.80 S,138.60 E,인도네시아 아베푸라 서쪽 221km 지역,-
956,2015-07-18 11:27,7.5,,10.33 S,165.20 E,솔로몬제도 라타 서북서쪽 81km 해역,-
955,2015-07-13 2:52,5.7,,33.00 N,131.90 E,일본 규슈 오이타현 오이타 남동쪽 38km 해역,-
954,2015-07-10 13:12,7,,9.32 S,158.42 E,솔로몬제도 다달리 남남서쪽 156km 해역,-
953,2015-07-10 3:33,5.8,,40.40 N,141.60 E,일본 혼슈 아오모리현 아오모리 동남동쪽 86km 지역,-
952,2015-07-07 14:10,6.2,,43.70 N,147.80 E,일본 홋카이도 구시로 동북동쪽 288km 해역,-
951,2015-07-03 10:07,6.5,,37.60 N,78.20 E,중국 호탄 서북서쪽 161km 지역,-
950,2015-06-23 21:19,6.9,,27.70 N,140.30 E,일본 도쿄 남쪽 885km 해역,-
949,2015-06-11 13:51,5.7,,39.60 N,143.80 E,일본 혼슈 이와테현 모리오카 동쪽 227km 해역,-
948,2015-06-11 13:45,5.8,,39.70 N,143.70 E,일본 혼슈 이와테현 모리오카 동쪽 218km 해역,-
947,2015-06-10 22:52,6,,22.41 S,68.33 W,칠레 산페드로 드 아타카마 북북서쪽 57km 지역,-
946,2015-06-10 17:33,5.6,,39.60 N,143.70 E,일본 혼슈 이와테현 모리오카 동쪽 218km 해역,-
945,2015-06-08 15:01,5.5,,41.50 N,142.00 E,일본 혼슈 아오모리현 아오모리 북동쪽 129km 해역,-
944,2015-06-05 8:15,6,,6.08 N,116.55 E,말레이시아 라나우 북서쪽 19km 지역,-
943,2015-06-04 4:34,5,,43.50 N,144.10 E,일본 홋카이도 구시로 북북서쪽 62km 지역,-
942,2015-06-03 6:05,6,,27.90 N,140.90 E,일본 도쿄 남남동쪽 870km 해역,-
941,2015-05-31 3:49,6.3,,30.70 N,143.00 E,일본 도쿄 남남동쪽 634km 해역,-
940,2015-05-31 2:22,5.6,,25.30 N,140.50 E,일본 도쿄 남쪽 1158km 해역,-
939,2015-05-30 20:24,8.5,,27.90 N,140.80 E,일본 도쿄 남쪽 870km 해역,-
938,2015-05-25 14:28,5.6,,36.10 N,139.60 E,일본 혼슈 사이타마현 사이타마 북쪽 27km 지역,-
937,2015-05-22 4:32,6,,9.78 S,160.33 E,솔로몬제도 호니아라 남동쪽 56km 지역,-
936,2015-05-13 6:13,6.6,,38.90 N,142.10 E,일본 혼슈 이와테현 모리오카 남동쪽 121km 해역,-
935,2015-05-12 16:36,6.3,,27.62 N,86.17 E,네팔 카트만두 동쪽 83km 지역,-
934,2015-05-12 16:05,7.4,,27.84 N,86.15 E,네팔 카트만두 동쪽 83km 지역,-
933,2015-05-07 16:10,7.2,,7.24 S,154.67 E,파푸아뉴기니 팡구나 남서쪽 136km 해역,-
932,2015-05-05 10:44,7.5,,5.60 S,152.10 E,파푸아뉴기니 코코포 남쪽 139km 해역,-
931,2015-05-01 17:06,7.1,,5.30 S,151.80 E,파푸아뉴기니 코코포 남남서쪽 116km 지역,-
930,2015-04-30 19:45,6.8,,5.40 S,151.90 E,파푸아뉴기니 코코포 남남서쪽 122km 지역,-
929,2015-04-26 16:09,6.7,,27.73 N,86.15 E,네팔 카트만두 동쪽 81km 지역,-
928,2015-04-26 5:01,5.6,,24.03 N,122.44 E,대만 타이베이 남동쪽 145km 해역,-
927,2015-04-25 15:45,6.6,,28.19 N,84.87 E,네팔 카트만두 북서쪽 70km 지역,-
926,2015-04-25 15:11,7.5,,28.17 N,84.73 E,네팔 카트만두 북서쪽 77km 지역,-
925,2015-04-20 21:00,5.7,,24.01 N,122.39 E,대만 타이베이 남동쪽 144km 해역,-
924,2015-04-20 20:45,5.8,,24.12 N,122.41 E,대만 타이베이 남동쪽 136km 해역,-
923,2015-04-20 10:42,6.3,,24.05 N,122.37 E,대만 타이베이 남동쪽 139km 해역,-
922,2015-03-30 8:48,7.6,,4.70 S,152.70 E,파푸아뉴기니 타론 남서쪽 45km 해역,-
921,2015-03-25 9:34,5,,42.40 N,143.10 E,일본 홋카이도 구시로 서남서쪽 123km 지역,-
920,2015-03-23 19:13,6,,23.70 N,121.76 E,대만 화련 남동쪽 35km 해역,-
919,2015-03-23 13:51,6.1,,18.44 S,69.36 W,칠레 아리카 동쪽 99km 지역,-
918,2015-03-11 5:55,6.2,,6.83 N,73.01 W,콜롬비아 보고타 북북동쪽 272km 지역,-
917,2015-02-24 11:29,5.9,,39.60 N,143.50 E,일본 혼슈 이와테현 모리오카 동쪽 201km 해역,-
916,2015-02-21 19:14,5.9,,39.90 N,143.60 E,일본 혼슈 이와테현 모리오카 동쪽 210km 해역,-
915,2015-02-20 13:25,6.1,,39.80 N,143.70 E,일본 혼슈 이와테현 모리오카 동쪽 218km 해역,-
914,2015-02-17 13:46,5.7,,40.10 N,142.10 E,일본 혼슈 이와테현 모리오카 동북동쪽 92km 해역,-
913,2015-02-17 8:06,6.9,,39.90 N,144.50 E,일본 혼슈 이와테현 모리오카 동쪽 287km 해역,-
912,2015-02-14 5:06,6.1,,22.66 N,121.46 E,대만 카오슝 동쪽 125km 해역,-
911,2015-02-12 3:57,6.9,,23.16 S,67.18 W,칠레 산페드로 드 아타카마 동남동쪽 109km 지역,-
910,2015-02-06 10:25,5,,33.70 N,134.40 E,일본 시코쿠 도쿠시마 남남서쪽 44km 지역,-
909,2015-02-02 19:49,6.3,,32.72 S,67.06 W,아르헨티나 라푼타 북서쪽 87km 지역,-
908,2015-01-25 19:42,5.7,,29.30 N,140.10 E,일본 혼슈 시즈오카현 시즈오카 남남동쪽 651km 해역,-
907,2015-01-07 13:48,5.4,,24.26 N,121.70 E,대만 타이베이 남남동쪽 86km 지역,-
906,2014-12-25 8:06,5.5,,37.20 N,141.60 E,일본 후쿠시마현 후쿠시마 동남동쪽 117km 해역,-
